,AAPL,GOOG,IBM,MSFT
2010-01-04 16:00:00,,,,
2010-01-05 16:00:00,,,,
2010-01-06 16:00:00,,,,
2010-01-07 16:00:00,,,,
2010-01-08 16:00:00,,,,
2010-01-11 16:00:00,,,,
2010-01-12 16:00:00,,,,
2010-01-13 16:00:00,,,,
2010-01-14 16:00:00,,,,
2010-01-15 16:00:00,,,,
2010-01-19 16:00:00,,,,
2010-01-20 16:00:00,,,,
2010-01-21 16:00:00,,,,
2010-01-22 16:00:00,,,,
2010-01-25 16:00:00,,,,
2010-01-26 16:00:00,,,,
2010-01-27 16:00:00,,,,
2010-01-28 16:00:00,,,,
2010-01-29 16:00:00,,,,
2010-02-01 16:00:00,-1.8873270323523372,-1.3970718095787877,-1.2775095044943063,-1.8662559208960745
2010-02-02 16:00:00,-1.519642091635693,-1.3396983451551081,-0.91588900722888433,-1.5925500664107579
2010-02-03 16:00:00,-0.92724468142912753,-0.94087968942195876,-0.79231928631199433,-1.2685036423144951
2010-02-04 16:00:00,-1.7353652775758981,-1.3093093306452783,-1.4390131153707166,-1.8193441541445214
2010-02-05 16:00:00,-1.1340567572310227,-1.0393190364168046,-1.1578617919656768,-1.452583141407414
2010-02-08 16:00:00,-1.1912954861755798,-0.87642151457518014,-1.4482559674311735,-1.5373663500200685
2010-02-09 16:00:00,-0.8197908253555154,-0.68985482969941747,-0.97685751507850072,-1.1461188765613173
2010-02-10 16:00:00,-0.87655103054284944,-0.69252815953426072,-0.98324051327285666,-1.0518713343315949
2010-02-11 16:00:00,-0.31827781015409534,-0.53432521021915735,-0.65424036041437816,-0.84766024138434704
2010-02-12 16:00:00,-0.0072943819225883312,-0.61278187167131004,-0.50365116752758987,-0.93565022425943456
2010-02-16 16:00:00,0.47209222946657292,-0.1153796918846146,-0.031763361944905123,-0.46454660754498434
2010-02-17 16:00:00,0.51191178794990211,-0.18203422208749914,0.66099878292369563,-0.10382849874508809
2010-02-18 16:00:00,0.75069310376712362,0.35384457340328851,1.626723453530817,0.56769705198049236
2010-02-19 16:00:00,0.61103097325670297,0.67638481069621448,1.4852569075906132,0.41456566939671213
2010-02-22 16:00:00,0.30369423349097419,1.2585059865911343,1.1972225367465388,0.36964350335376966
2010-02-23 16:00:00,-0.38200164793582242,-0.26291503706696168,0.95237121045913564,-0.25685215288431912
2010-02-24 16:00:00,0.52743043791885735,-0.90876666650669691,1.466503192487028,0.42069889054519755
2010-02-25 16:00:00,1.060233714308326,-1.7308346280364157,1.1399254741055411,0.58220085022280144
2010-02-26 16:00:00,1.5943364957128578,-1.4823646752091693,1.0733187000537372,0.91317279087441605
2010-03-01 16:00:00,2.2915623599752912,-0.40259552746564725,1.616841924964757,1.6546648736979948
2010-03-02 16:00:00,1.9274124533566281,1.095365641700611,0.93752481976893198,0.17831416326349847
2010-03-03 16:00:00,1.7568332752756801,1.6463518918223026,0.62588918368396951,0.17831416326349847
2010-03-04 16:00:00,1.7536345371763253,2.5621188654597087,0.51635952245383543,0.62409957142248951
2010-03-05 16:00:00,2.6124394314699013,2.864907483294556,0.6978875249066292,0.44519242035757051
2010-03-08 16:00:00,2.1787203641617663,2.1827236785638693,0.20306308097186163,0.48614265594660733
2010-03-09 16:00:00,2.2658941960092971,1.6971525370736389,-0.41052123368216037,0.9207720420730352
2010-03-10 16:00:00,2.0931070408739112,2.4495374233807605,-0.48828036386428691,1.3478686006001712
2010-03-11 16:00:00,1.8822752097907169,2.2521111460400292,0.83924777068419154,1.8536326986836267
2010-03-12 16:00:00,1.7400600199865264,1.8339656329153562,1.0902620678471924,1.9054709010130886
2010-03-15 16:00:00,1.3056391563576548,0.80233052654195902,0.99588475384837716,1.9025867298745738
2010-03-16 16:00:00,1.2262158632616595,0.83852520769291439,1.8228665743402512,1.8977427325510909
2010-03-17 16:00:00,1.0782868410474491,0.77847724662936091,0.65865897419137576,2.2316898229185527
2010-03-18 16:00:00,1.0210239465243567,0.75337752382345902,1.3270801366325098,1.8751797459181219
2010-03-19 16:00:00,0.71124975195843443,0.34089945608655497,0.50894534444041761,1.5959187791610858
2010-03-22 16:00:00,0.87009865569551681,0.15790532176770342,0.75014648454594557,1.4351655019389753
2010-03-23 16:00:00,1.1675802591658211,-0.38537098107720497,1.985741147488078,1.8194561313355133
2010-03-24 16:00:00,1.2001264323487728,0.036521278699812268,1.0259052779625859,1.186804114888691
2010-03-25 16:00:00,0.81931793764863159,0.30490342181875157,1.5357317202218301,1.7074512002060793
2010-03-26 16:00:00,1.3180880305938909,0.19354846932032227,1.383132283692927,0.90460097329968348
2010-03-29 16:00:00,1.4260520491803277,0.058801689911402076,0.77418766817880813,0.69784629149913191
2010-03-30 16:00:00,1.8194760971439963,0.40429533459594008,0.85992852916375395,0.97337953787250819
2010-03-31 16:00:00,1.6430283031822934,0.37051900883032757,0.34194061093873757,-0.14082209263320464
2010-04-01 16:00:00,1.8145001156813199,0.51345821494866206,0.28078036743868656,-0.54519497418886842
2010-04-05 16:00:00,2.0094818295990371,0.75051136833465182,1.1727767486291587,-0.39847448467416513
2010-04-06 16:00:00,1.9423450497095671,0.34751772261829961,0.71450716305105566,-0.4131124279565791
2010-04-07 16:00:00,1.8380764086655152,-0.29117716145097888,0.18168137853430116,-0.46475305413432566
2010-04-08 16:00:00,1.5232155318971063,0.30898503956482914,-1.3689518704215979,1.5685595132831045
2010-04-09 16:00:00,1.5929540099739303,0.27577887356195657,0.48892335440248086,2.5303148781467106
2010-04-12 16:00:00,1.4741965276226729,1.5950240399963782,-0.26040435099683429,2.062477278450852
