2008,01,03,50000.0
2008,01,04,49982.0
2008,01,07,49997.0
2008,01,08,49983.0
2008,01,09,49971.0
2008,01,10,49953.0
2008,01,11,49953.0
2008,01,14,49953.0
2008,01,15,49953.0
2008,01,16,49953.0
2008,01,17,49953.0
2008,01,18,49953.0
2008,01,22,49953.0
2008,01,23,49953.0
2008,01,24,49953.0
2008,01,25,49953.0
2008,01,28,49953.0
2008,01,29,49953.0
2008,01,30,49953.0
2008,01,31,49953.0
2008,02,01,49953.0
2008,02,04,49953.0
2008,02,05,49953.0
2008,02,06,49953.0
2008,02,07,49935.0
2008,02,08,49946.0
2008,02,11,49956.0
2008,02,12,49966.0
2008,02,13,50133.0
2008,02,14,50033.0
2008,02,15,50143.0
2008,02,19,50023.0
2008,02,20,50031.0
2008,02,21,49927.0
2008,02,22,49908.0
2008,02,25,50059.0
2008,02,26,50057.0
2008,02,27,50057.0
2008,02,28,50057.0
2008,02,29,50039.0
2008,03,03,50042.0
2008,03,04,50062.0
2008,03,05,50067.0
2008,03,06,50052.0
2008,03,07,50040.0
2008,03,10,50031.0
2008,03,11,50084.0
2008,03,12,50082.0
2008,03,13,50114.0
2008,03,14,50074.0
2008,03,17,50051.0
2008,03,18,50149.0
2008,03,19,50093.0
2008,03,20,50190.0
2008,03,24,50300.0
2008,03,25,50308.0
2008,03,26,50225.0
2008,03,27,50207.0
2008,03,28,50231.0
2008,03,31,50237.0
2008,04,01,50304.0
2008,04,02,50288.0
2008,04,03,50395.0
2008,04,04,50380.0
2008,04,07,50380.0
2008,04,08,50348.0
2008,04,09,50327.0
2008,04,10,50372.0
2008,04,11,50343.0
2008,04,14,50323.0
2008,04,15,50336.0
2008,04,16,50277.0
2008,04,17,50221.0
2008,04,18,50294.0
2008,04,21,50273.0
2008,04,22,50185.0
2008,04,23,50285.0
2008,04,24,50685.0
2008,04,25,50818.0
2008,04,28,50842.0
2008,04,29,50833.0
2008,04,30,50834.0
2008,05,01,50888.0
2008,05,02,50882.0
2008,05,05,50897.0
2008,05,06,50903.0
2008,05,07,50858.0
2008,05,08,50852.0
2008,05,09,50862.0
2008,05,12,50867.0
2008,05,13,50860.0
2008,05,14,50891.0
2008,05,15,50925.0
2008,05,16,50908.0
2008,05,19,50914.0
2008,05,20,50906.0
2008,05,21,50857.0
2008,05,22,50874.0
2008,05,23,50861.0
2008,05,27,50906.0
2008,05,28,50959.0
2008,05,29,50985.0
2008,05,30,50998.0
2008,06,02,50961.0
2008,06,03,50989.0
2008,06,04,51023.0
2008,06,05,51056.0
2008,06,06,50973.0
2008,06,09,50968.0
2008,06,10,50919.0
2008,06,11,50850.0
2008,06,12,50893.0
2008,06,13,50929.0
2008,06,16,50983.0
2008,06,17,50920.0
2008,06,18,50865.0
2008,06,19,50933.0
2008,06,20,50835.0
2008,06,23,50596.0
2008,06,24,50565.0
2008,06,25,50643.0
2008,06,26,50462.0
2008,06,27,50460.0
2008,06,30,50413.0
2008,07,01,50407.0
2008,07,02,50331.0
2008,07,03,50317.0
2008,07,07,50324.0
2008,07,08,50339.0
2008,07,09,50314.0
2008,07,10,50354.0
2008,07,11,50309.0
2008,07,14,50307.0
2008,07,15,50267.0
2008,07,16,50514.0
2008,07,17,50805.0
2008,07,18,50709.0
2008,07,21,50711.0
2008,07,22,50725.0
2008,07,23,50793.0
2008,07,24,50823.0
2008,07,25,50793.0
2008,07,28,50714.0
2008,07,29,50835.0
2008,07,30,50785.0
2008,07,31,50771.0
2008,08,01,50762.0
2008,08,04,50829.0
2008,08,05,50772.0
2008,08,06,50764.0
2008,08,07,50745.0
2008,08,08,50898.0
2008,08,11,50946.0
2008,08,12,50954.0
2008,08,13,50896.0
2008,08,14,51016.0
2008,08,15,51015.0
2008,08,18,50902.0
2008,08,19,50817.0
2008,08,20,50764.0
2008,08,21,50694.0
2008,08,22,50729.0
2008,08,25,50629.0
2008,08,26,50555.0
2008,08,27,50573.0
2008,08,28,50601.0
2008,08,29,50519.0
2008,09,02,50528.0
2008,09,03,50546.0
2008,09,04,50430.0
2008,09,05,50501.0
2008,09,08,50559.0
2008,09,09,50469.0
2008,09,10,50448.0
2008,09,11,50466.0
2008,09,12,50567.0
2008,09,15,50237.0
2008,09,16,48382.0
2008,09,17,45203.0
2008,09,18,46584.0
2008,09,19,48625.0
2008,09,22,49787.0
2008,09,23,49729.0
2008,09,24,49734.0
2008,09,25,49346.0
2008,09,26,49505.0
2008,09,29,47901.0
2008,09,30,49845.0
2008,10,01,50578.0
2008,10,02,50224.0
2008,10,03,50246.0
2008,10,06,49948.0
2008,10,07,49605.0
2008,10,08,49409.0
2008,10,09,49026.0
2008,10,10,49043.0
2008,10,13,49936.0
2008,10,14,50272.0
2008,10,15,49804.0
2008,10,16,49946.0
2008,10,17,49917.0
2008,10,20,49919.0
2008,10,21,49781.0
2008,10,22,49623.0
2008,10,23,49528.0
2008,10,24,49464.0
2008,10,27,49281.0
2008,10,28,50033.0
2008,10,29,50053.0
2008,10,30,50222.0
2008,10,31,50619.0
2008,11,03,50707.0
2008,11,04,50798.0
2008,11,05,50501.0
2008,11,06,50297.0
2008,11,07,49907.0
2008,11,10,49797.0
2008,11,11,49411.0
2008,11,12,48958.0
2008,11,13,49438.0
2008,11,14,49200.0
2008,11,17,49021.0
2008,11,18,48882.0
2008,11,19,48550.0
2008,11,20,48067.0
2008,11,21,47485.0
2008,11,24,50483.0
2008,11,25,51014.0
2008,11,26,52702.0
2008,11,28,54040.0
2008,12,01,53465.0
2008,12,02,53640.0
2008,12,03,53988.0
