2009,01,06,RAI,BUY,100
2009,01,13,RAI,SELL,100
2008,05,01,RDC,BUY,100
2008,05,08,RDC,SELL,100
2008,05,19,RF,BUY,100
2008,05,27,RF,SELL,100
2009,07,21,RF,BUY,100
2009,07,28,RF,SELL,100
2009,05,07,ROST,BUY,100
2009,05,14,ROST,SELL,100
2008,08,06,S,BUY,100
2008,08,13,S,SELL,100
2008,05,02,SEE,BUY,100
2008,05,09,SEE,SELL,100
2009,09,10,SHW,BUY,100
2009,09,17,SHW,SELL,100
2008,05,02,SIAL,BUY,100
2008,05,09,SIAL,SELL,100
2009,12,21,SIAL,BUY,100
2009,12,29,SIAL,SELL,100
2009,04,29,SRCL,BUY,100
2009,05,06,SRCL,SELL,100
2008,05,02,STJ,BUY,100
2008,05,09,STJ,SELL,100
2009,07,22,STJ,BUY,100
2009,07,29,STJ,SELL,100
2009,07,23,SWY,BUY,100
2009,07,30,SWY,SELL,100
2009,05,07,SYMC,BUY,100
2009,05,14,SYMC,SELL,100
2009,12,14,TAP,BUY,100
2009,12,21,TAP,SELL,100
2008,04,01,TDC,BUY,100
2008,04,08,TDC,SELL,100
2009,04,13,TDC,BUY,100
2009,04,20,TDC,SELL,100
2009,05,07,TRV,BUY,100
2009,05,14,TRV,SELL,100
2009,07,20,TSN,BUY,100
2009,07,27,TSN,SELL,100
2009,04,29,TSS,BUY,100
2009,05,06,TSS,SELL,100
2009,12,23,TWC,BUY,100
2009,12,30,TWC,SELL,100
2009,09,17,TXN,BUY,100
2009,09,24,TXN,SELL,100
2008,05,16,URBN,BUY,100
2008,05,23,URBN,SELL,100
2009,04,29,VFC,BUY,100
2009,05,06,VFC,SELL,100
2008,05,06,VMC,BUY,100
2008,05,13,VMC,SELL,100
2009,05,07,VZ,BUY,100
2009,05,14,VZ,SELL,100
2009,09,17,VZ,BUY,100
2009,09,24,VZ,SELL,100
2009,05,08,WEC,BUY,100
2009,05,15,WEC,SELL,100
2008,08,06,WFM,BUY,100
2008,08,13,WFM,SELL,100
2009,09,14,WMT,BUY,100
2009,09,21,WMT,SELL,100
2008,05,02,WPO,BUY,100
2008,05,09,WPO,SELL,100
2009,05,04,WPO,BUY,100
2009,05,11,WPO,SELL,100
2009,05,07,XLNX,BUY,100
2009,05,14,XLNX,SELL,100
2009,12,14,XOM,BUY,100
2009,12,21,XOM,SELL,100
